State,Sector,Indicator,Sub Indicator,Value
Andhra Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,21.9
Andhra Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,48
Andhra Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,28.6
Andhra Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,57.4
Andhra Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,29.8
Andhra Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,58.1
Andhra Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,22.6
Andhra Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,35
Andhra Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,23.6
Andhra Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,35.5
Arunachal Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,58.3
Arunachal Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,89.3
Arunachal Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,78.8
Arunachal Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,96.1
Arunachal Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,81.4
Arunachal Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,99
Arunachal Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,69.6
Arunachal Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,88.6
Arunachal Pradesh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,71.8
Arunachal Pradesh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,90.6
Assam,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,3.3
Assam,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,25.8
Assam,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,81.7
Assam,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,87.6
Assam,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,82.3
Assam,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,91.5
Assam,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,73.3
Assam,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,69
Assam,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,73.8
Assam,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,70.3
Bihar,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,10.6
Bihar,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,27.5
Bihar,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,85.5
Bihar,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,87
Bihar,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,90.1
Bihar,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,90.4
Bihar,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,68.7
Bihar,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,71.3
Bihar,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,72
Bihar,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,73.6
Chandigarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,100
Chandigarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,99.6
Chandigarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,100
Chandigarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,100
Chandigarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,100
Chandigarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,100
Chandigarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,66.7
Chandigarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,94.6
Chandigarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,66.7
Chandigarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,94.6
Chhattisgarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,13.6
Chhattisgarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,50.8
Chhattisgarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,28
Chhattisgarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,70.5
Chhattisgarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,29.2
Chhattisgarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,79.3
Chhattisgarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,23.4
Chhattisgarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,64.5
Chhattisgarh,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,24.4
Chhattisgarh,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,72.5
Dadra & Nagar Haveli & Daman & Diu,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,20.7
Dadra & Nagar Haveli & Daman & Diu,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,60.7
Dadra & Nagar Haveli & Daman & Diu,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,53.5
Dadra & Nagar Haveli & Daman & Diu,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,83.5
Dadra & Nagar Haveli & Daman & Diu,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,54.7
Dadra & Nagar Haveli & Daman & Diu,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,84.4
Dadra & Nagar Haveli & Daman & Diu,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,33.3
Dadra & Nagar Haveli & Daman & Diu,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,42.5
Dadra & Nagar Haveli & Daman & Diu,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,33.8
Dadra & Nagar Haveli & Daman & Diu,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,43.3
Delhi,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,59.2
Delhi,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,73.3
Delhi,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,70
Delhi,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,80.4
Delhi,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,81.1
Delhi,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,90.3
Delhi,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,60.1
Delhi,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,72.7
Delhi,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,71.2
Delhi,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,82.3
Goa,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,68.3
Goa,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,95.8
Goa,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,71.6
Goa,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,95.8
Goa,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,84
Goa,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,99.6
Goa,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,70.3
Goa,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,90.6
Goa,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,82.7
Goa,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,94.4
Gujarat,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,60.7
Gujarat,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,84.8
Gujarat,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,69.1
Gujarat,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,90.4
Gujarat,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,73.6
Gujarat,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,93.8
Gujarat,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,64.1
Gujarat,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,81
Gujarat,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,68.2
Gujarat,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,83.9
Haryana,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,61.9
Haryana,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,61.7
Haryana,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,70.3
Haryana,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,71.9
Haryana,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,74.6
Haryana,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,76.2
Haryana,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,67.6
