State,Sector,Gender,Indicator,Migration Reason,Value
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,2.2
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,28.4
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,0.6
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,28.1
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,0.5
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,8
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,13.5
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,0.5
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,0.7
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,53.3
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,0.8
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,46.8
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,26
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,34.6
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,19.6
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,34.9
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,11.1
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,3.5
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,2.8
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,3.3
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.4
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.3
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0.9
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0.1
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,0.2
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,0.2
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.1
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.2
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,4.3
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,3.4
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,3.5
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,4
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,1.2
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,3.8
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,0
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,16.2
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,1.7
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,19.2
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,6.2
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,38.6
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,48.7
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,51.1
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,54.1
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,2.3
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,0.4
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,1.6
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,0.6
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,1.6
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,0
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,3.4
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,0.2
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,0.1
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,0
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,1.8
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.3
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.6
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.5
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,3.8
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,0.6
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,1.9
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,1.1
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,15.9
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,1
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,20.1
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,1
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,2
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,0.2
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,8.5
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,0.9
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,8.6
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,82.1
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,1.4
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,58.6
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,14.5
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,8.9
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,19.4
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,25.7
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.4
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,25.7
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,4.5
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,8.2
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,4.2
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.5
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.7
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.1
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,1
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0.2
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,1.3
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0.2
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,0
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.9
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.4
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.3
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.4
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,14
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,1.1
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,14.4
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,5.7
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,4.8
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,0.1
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,12.4
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,0.5
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,2.1
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,0.1
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,5.8
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,0.5
Andhra Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,15.2
Andhra Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,51.4
Andhra Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,27.8
Andhra Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,49.7
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,-
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,0.9
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,2.6
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,6.5
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,6.5
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,33.5
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,10.3
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,18.4
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,6.1
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,6.3
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,0.6
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,7
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,3.9
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,7.2
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,54.1
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,33.8
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,12.1
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,9
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,26.2
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,22.4
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,1.6
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,1.2
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,0.6
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,0.8
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,5.5
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Arunachal Pradesh,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Arunachal Pradesh,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Arunachal Pradesh,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",3.5
Arunachal Pradesh,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,35.3
