State,Sector,Indicator,Sub Indicator,Value
Bihar,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,30.2
Bihar,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,64.9
Bihar,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,55.8
Bihar,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,14.3
Chandigarh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,6.7
Chandigarh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,51.3
Chandigarh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,90.2
Chandigarh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,41.4
Chandigarh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,3.1
Chandigarh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,7.3
Chhattisgarh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,18.9
Chhattisgarh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,18.4
Chhattisgarh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,45
Chhattisgarh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,71
Chhattisgarh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,36.1
Chhattisgarh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,10.6
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,4.5
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,0.3
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,95.5
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,99.2
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0.5
Delhi,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,43.4
Delhi,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,26.7
Delhi,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,53.5
Delhi,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,71.8
Delhi,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,3.1
Delhi,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,1.5
Goa,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,13.7
Goa,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,13.1
Goa,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,71.7
Goa,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,82.8
Goa,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,14.6
Goa,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,4.2
Gujarat,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,36.4
Gujarat,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,11.5
Gujarat,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,55.3
Gujarat,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,84
Gujarat,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,8.3
Gujarat,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,4.5
Haryana,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,17.2
Haryana,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,14
Haryana,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,71.4
Haryana,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,84.4
Haryana,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,11.3
Haryana,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,1.6
Himachal Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,25.7
Himachal Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,21.2
Himachal Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,31
Himachal Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,63.1
Himachal Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,43.3
Himachal Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,15.7
Jammu & Kashmir,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,20
Jammu & Kashmir,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,10.9
Jammu & Kashmir,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,72.5
Jammu & Kashmir,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,88.5
Jammu & Kashmir,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,7.5
Jammu & Kashmir,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0.6
Jharkhand,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,8.2
Jharkhand,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,16.5
Jharkhand,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,67.2
Jharkhand,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,72
Jharkhand,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,24.5
Jharkhand,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,11.6
Karnataka,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,37.5
Karnataka,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,16.3
Karnataka,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,44.8
Karnataka,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,76.3
Karnataka,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,17.7
Karnataka,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,7.4
Kerala,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,32.3
Kerala,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,31.1
Kerala,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,23.3
Kerala,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,26.1
Kerala,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,44.4
Kerala,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,42.8
Ladakh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,33.1
Ladakh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,4.4
Ladakh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,28.7
Ladakh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,94.8
Ladakh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,38.3
Ladakh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0.8
Lakshadweep,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,27.5
Lakshadweep,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,33.8
Lakshadweep,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,68.6
Lakshadweep,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,41.9
Lakshadweep,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,3.9
Lakshadweep,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,24.2
Madhya Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,20.7
Madhya Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,25.5
Madhya Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,53.9
Madhya Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,65.4
Madhya Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,25.4
Madhya Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,9.2
Maharashtra,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,36.7
Maharashtra,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,20.7
Maharashtra,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,49.3
Maharashtra,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,72.2
Maharashtra,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,13.9
Maharashtra,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,7.1
Manipur,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,100
Manipur,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,73.8
Manipur,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,0
Manipur,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,26.2
Manipur,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0
Manipur,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0
Meghalaya,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,10.1
Meghalaya,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,10.4
Meghalaya,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,89.9
Meghalaya,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,89.6
Meghalaya,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0
Meghalaya,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0
Mizoram,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,46.8
Mizoram,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,29.4
Mizoram,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,52.1
Mizoram,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,67.9
Mizoram,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,1.1
Mizoram,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,2.7
Nagaland,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,25.6
Nagaland,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,17.8
Nagaland,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,57
Nagaland,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,75.5
Nagaland,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,17.4
Nagaland,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,6.6
Odisha,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,13.2
Odisha,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,16.9
Odisha,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,39.5
Odisha,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,72.6
Odisha,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,47.3
Odisha,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,10.5
Puducherry,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,5.8
Puducherry,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,16.2
Puducherry,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,89.1
Puducherry,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,68.4
Puducherry,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,5.1
Puducherry,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,15.4
Punjab,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,19.7
Punjab,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,19.3
Punjab,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,56.4
Punjab,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,69.6
Punjab,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,23.9
Punjab,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,11.1
Rajasthan,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,16.9
Rajasthan,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,16.9
Rajasthan,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,51
Rajasthan,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,72.6
Rajasthan,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,32.1
Rajasthan,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,10.4
Sikkim,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,19.2
