State,Sector,Indicator,Source of finance,Value
Arunachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.7
Arunachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Arunachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,6.8
Arunachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.5
Arunachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,83
Arunachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.7
Arunachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Arunachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,4.8
Arunachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,4.6
Arunachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,89.9
Arunachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.7
Arunachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Assam,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,30.1
Assam,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,4.8
Assam,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,64.8
Assam,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.3
Assam,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Assam,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,19.7
Assam,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,18.9
Assam,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,61.4
Assam,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Assam,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Assam,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,28.9
Assam,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,6.4
Assam,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,64.4
Assam,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.3
Assam,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Bihar,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,42.1
Bihar,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,11.5
Bihar,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,45.1
Bihar,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.2
Bihar,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Bihar,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,30.9
Bihar,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,13.6
Bihar,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,55.4
Bihar,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.2
Bihar,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Bihar,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,41
Bihar,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,11.7
Bihar,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,46.1
Bihar,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.1
Bihar,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Chandigarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,0
Chandigarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,0
Chandigarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,100
Chandigarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Chandigarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Chandigarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,16.9
Chandigarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,69.2
Chandigarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,7.9
Chandigarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,5.9
Chandigarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Chandigarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,16.8
Chandigarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,68.5
Chandigarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,8.9
Chandigarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,5.9
Chandigarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Chhattisgarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,60.8
Chhattisgarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,6.1
Chhattisgarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,33.1
Chhattisgarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Chhattisgarh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Chhattisgarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,29.1
Chhattisgarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,23.7
Chhattisgarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,42.6
Chhattisgarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,4.6
Chhattisgarh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Chhattisgarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,55.5
Chhattisgarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9
Chhattisgarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,34.7
Chhattisgarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.8
Chhattisgarh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,12.7
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,8.6
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,78.7
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,5.9
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,0
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,94.1
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Dadra & Nagar Haveli & Daman & Diu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,10.3
Dadra & Nagar Haveli & Daman & Diu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,5.6
Dadra & Nagar Haveli & Daman & Diu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,84.1
Dadra & Nagar Haveli & Daman & Diu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Dadra & Nagar Haveli & Daman & Diu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Delhi,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,3.3
Delhi,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,0
Delhi,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,96.7
Delhi,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Delhi,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Delhi,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,8
Delhi,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.5
Delhi,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,82
Delhi,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.5
Delhi,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Delhi,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,7.8
Delhi,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.2
Delhi,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,82.5
Delhi,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.5
Delhi,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Goa,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,25.5
Goa,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,30.7
Goa,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,43.9
Goa,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Goa,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Goa,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,8.1
Goa,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,82
Goa,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,9.9
Goa,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Goa,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Goa,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,14.7
Goa,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,62.4
Goa,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,22.9
Goa,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Goa,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Gujarat,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,24.8
Gujarat,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,22.4
Gujarat,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,50.8
Gujarat,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.9
Gujarat,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Gujarat,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,11.8
Gujarat,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,55.6
Gujarat,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,31.3
Gujarat,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.3
Gujarat,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Gujarat,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,20
Gujarat,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,34.7
Gujarat,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,43.6
Gujarat,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.7
Gujarat,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Haryana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,44.7
Haryana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,7.6
Haryana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,47.6
Haryana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Haryana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Haryana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,14.2
Haryana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,11.8
Haryana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,73.6
Haryana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.4
Haryana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Haryana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,32.3
Haryana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.3
Haryana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,58.2
Haryana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.1
Haryana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Himachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,11.7
Himachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,55.5
Himachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,32.9
Himachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Himachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Himachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,5.4
Himachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,52
Himachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,31.1
Himachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,11.5
Himachal Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Himachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,11.5
Himachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,55.3
Himachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,32.8
Himachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.4
Himachal Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Jammu & Kashmir,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,14.3
Jammu & Kashmir,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.8
Jammu & Kashmir,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,73.9
Jammu & Kashmir,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.1
Jammu & Kashmir,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Jammu & Kashmir,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,5.7
Jammu & Kashmir,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,8.7
Jammu & Kashmir,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,85.6
Jammu & Kashmir,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Jammu & Kashmir,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
